,Columns,Datatype,Description
0,Unnamed: 0,<class 'str'>,Datetime
1,ActivePA,<class 'numpy.float64'>,Active Power for Phase A (Watt)
2,ActivePB,<class 'numpy.float64'>,Active Power for Phase B (Watt)
3,ActivePC,<class 'numpy.float64'>,Active Power for Phase C (Watt)
4,ActivePT,<class 'numpy.float64'>,Total Active Power (Watt)
5,ApparentPA,<class 'numpy.float64'>,Apparent Power for Phase A (Watt)
6,ApparentPB,<class 'numpy.float64'>,Apparent Power for Phase B (Watt)
7,ApparentPC,<class 'numpy.float64'>,Apparent Power for Phase C (Watt)
8,ApparentPT,<class 'numpy.float64'>,Total Apparent Power (Watt)
9,FREQ,<class 'numpy.float64'>,Frequency (Hz)
10,IA,<class 'numpy.float64'>,Current for Phase A (Amp)
11,IB,<class 'numpy.float64'>,Current for Phase B (Amp)
12,IC,<class 'numpy.float64'>,Current for Phase C (Amp)
13,INCURENT,<class 'numpy.float64'>,Input Current (Amp)
14,PFA,<class 'numpy.float64'>,Power Factor for Phase A
15,PFB,<class 'numpy.float64'>,Power Factor for Phase B
16,PFC,<class 'numpy.float64'>,Power Factor for Phase C
17,PFT,<class 'numpy.float64'>,Total Power Factor
18,PhaseA,<class 'numpy.float64'>,Phase A Value
19,PhaseB,<class 'numpy.float64'>,Phase B Value
20,PhaseC,<class 'numpy.float64'>,Phase C Value
21,ReactivePA,<class 'numpy.float64'>,Reactive Power for Phase A (Watt)
22,ReactivePB,<class 'numpy.float64'>,Reactive Power for Phase B (Watt)
23,ReactivePC,<class 'numpy.float64'>,Reactive Power for Phase C (Watt)
24,ReactivePT,<class 'numpy.float64'>,Total Reactive Power (Watt)
25,VA,<class 'numpy.float64'>,Voltage for Phase A (Volt)
26,VB,<class 'numpy.float64'>,Voltage for Phase B (Volt)
27,VC,<class 'numpy.float64'>,Voltage for Phase C (Volt)
